Umur,Kelas Pekerja,Pekerjaan,Jam per Minggu,Gaji
24,Wiraswasta,Pembersih,40.0,<=7jt
44,Wiraswasta,Spesialis,40.0,<=7jt
42,Pemerintah Provinsi,Spesialis,40.0,>7jt
33,Wiraswasta,Pembersih,40.0,<=7jt
47,Pekerja Bebas Bukan Perusahan,Ekesekutif Managerial,30.0,<=7jt
66,Pekerja Bebas Bukan Perusahan,Sales,25.0,>7jt
43,Wiraswasta,Supir,30.0,<=7jt
37,Wiraswasta,Supir,40.0,>7jt
81,Pekerja Bebas Bukan Perusahan,Petani,21.0,<=7jt
29,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
27,Wiraswasta,Tech-support,45.0,<=7jt
25,Pemerintah Negara,Pemuka Agama,40.0,<=7jt
35,Pekerja Bebas Bukan Perusahan,Servis Lainnya,40.0,<=7jt
51,Wiraswasta,Pemuka Agama,38.0,<=7jt
36,Pemerintah Provinsi,Pemuka Agama,40.0,<=7jt
32,Wiraswasta,Ekesekutif Managerial,45.0,<=7jt
55,Wiraswasta,Servis Lainnya,33.0,<=7jt
46,Wiraswasta,Spesialis,40.0,<=7jt
49,Wiraswasta,Tech-support,40.0,<=7jt
29,Wiraswasta,Sales,35.0,<=7jt
68,Wiraswasta,Sales,22.0,<=7jt
58,Wiraswasta,Perbaikan Kerajinan,50.0,<=7jt
61,Wiraswasta,Servis Lainnya,38.0,<=7jt
56,Wiraswasta,Ekesekutif Managerial,50.0,<=7jt
45,Wiraswasta,Ekesekutif Managerial,38.0,>7jt
21,?,?,40.0,<=7jt
37,Wiraswasta,Ekesekutif Managerial,37.0,>7jt
17,Wiraswasta,Servis Lainnya,25.0,<=7jt
18,Wiraswasta,Servis Lainnya,15.0,<=7jt
29,Wiraswasta,Mesin Inspeksi,40.0,>7jt
24,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
40,Wiraswasta,Servis Lainnya,40.0,<=7jt
74,Wiraswasta,Pemuka Agama,35.0,>7jt
23,Wiraswasta,Servis Lainnya,30.0,<=7jt
51,Wiraswasta,Spesialis,40.0,<=7jt
22,Wiraswasta,Servis Lainnya,40.0,<=7jt
32,Wiraswasta,Pemuka Agama,40.0,<=7jt
30,Wiraswasta,Perbaikan Kerajinan,44.0,<=7jt
41,Pemerintah Negara,Penjaga,40.0,<=7jt
47,Pemerintah Lokal,Pemuka Agama,40.0,<=7jt
37,Pemerintah Provinsi,Spesialis,72.0,>7jt
23,Wiraswasta,Ekesekutif Managerial,32.0,<=7jt
28,Pemerintah Lokal,Ekesekutif Managerial,40.0,>7jt
45,Wiraswasta,Ekesekutif Managerial,44.0,<=7jt
32,Wiraswasta,Sales,50.0,>7jt
31,Wiraswasta,Pemuka Agama,40.0,<=7jt
28,Wiraswasta,Sales,42.0,<=7jt
57,Wiraswasta,Pemuka Agama,40.0,<=7jt
49,Wiraswasta,Supir,40.0,>7jt
57,Pemerintah Lokal,Spesialis,40.0,>7jt
52,Pemerintah Lokal,Servis Lainnya,20.0,<=7jt
74,?,?,6.0,<=7jt
19,Pemerintah Negara,Pemuka Agama,40.0,<=7jt
33,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
38,Pekerja Bebas Perusahaan,Sales,40.0,>7jt
20,Wiraswasta,Sales,40.0,<=7jt
18,Wiraswasta,Servis Lainnya,18.0,<=7jt
60,?,?,32.0,<=7jt
61,Wiraswasta,Supir,40.0,>7jt
46,Wiraswasta,Spesialis,36.0,<=7jt
41,Pemerintah Provinsi,Penjaga,40.0,<=7jt
51,Wiraswasta,Perbaikan Kerajinan,50.0,>7jt
23,Wiraswasta,Pemuka Agama,40.0,<=7jt
51,Pemerintah Lokal,Perbaikan Kerajinan,40.0,<=7jt
58,Wiraswasta,Perbaikan Kerajinan,20.0,<=7jt
42,Pemerintah Lokal,Pemuka Agama,40.0,<=7jt
62,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
43,Wiraswasta,Pemuka Agama,48.0,<=7jt
39,Wiraswasta,Ekesekutif Managerial,70.0,<=7jt
35,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
34,Wiraswasta,Supir,40.0,<=7jt
46,Wiraswasta,Sales,45.0,<=7jt
33,Wiraswasta,Pembersih,40.0,<=7jt
50,Wiraswasta,Petani,40.0,<=7jt
47,Pemerintah Lokal,Servis Lainnya,40.0,<=7jt
57,Pekerja Bebas Bukan Perusahan,Servis Lainnya,40.0,>7jt
20,Wiraswasta,Servis Lainnya,40.0,<=7jt
36,Pemerintah Lokal,Penjaga,56.0,<=7jt
40,Pekerja Bebas Bukan Perusahan,Spesialis,40.0,>7jt
20,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
30,Wiraswasta,Pembersih,40.0,>7jt
36,Pemerintah Provinsi,Ekesekutif Managerial,40.0,<=7jt
58,Wiraswasta,Pemuka Agama,40.0,<=7jt
34,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
34,Wiraswasta,Supir,40.0,<=7jt
17,Wiraswasta,Sales,12.0,<=7jt
70,Pekerja Bebas Perusahaan,Petani,6.0,<=7jt
56,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
60,?,?,35.0,<=7jt
63,Wiraswasta,Pemuka Agama,40.0,<=7jt
46,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
42,Wiraswasta,Sales,60.0,>7jt
32,Wiraswasta,Sales,44.0,>7jt
24,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,40.0,<=7jt
28,Wiraswasta,Sales,40.0,<=7jt
21,?,?,15.0,<=7jt
34,Wiraswasta,Mesin Inspeksi,40.0,>7jt
33,Wiraswasta,Petani,40.0,<=7jt
63,Pekerja Bebas Bukan Perusahan,Sales,3.0,<=7jt
45,Pemerintah Lokal,Ekesekutif Managerial,40.0,>7jt
25,Wiraswasta,Pemuka Agama,38.0,<=7jt
55,Pekerja Bebas Perusahaan,Sales,40.0,<=7jt
35,Wiraswasta,Supir,40.0,<=7jt
90,?,?,40.0,<=7jt
37,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,50.0,<=7jt
26,Wiraswasta,Servis Lainnya,40.0,<=7jt
43,Pekerja Bebas Perusahaan,Ekesekutif Managerial,50.0,>7jt
38,Wiraswasta,Mesin Inspeksi,48.0,>7jt
44,Wiraswasta,Spesialis,40.0,>7jt
53,Pemerintah Lokal,Ekesekutif Managerial,40.0,<=7jt
37,Wiraswasta,Sales,50.0,>7jt
27,Pekerja Bebas Perusahaan,Pemuka Agama,40.0,>7jt
25,Wiraswasta,Servis Lainnya,40.0,<=7jt
44,Wiraswasta,Pemuka Agama,40.0,<=7jt
18,Wiraswasta,Sales,20.0,<=7jt
25,Wiraswasta,Pemuka Agama,30.0,<=7jt
24,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
46,Wiraswasta,Servis Lainnya,40.0,<=7jt
46,Wiraswasta,Perbaikan Kerajinan,89.0,>7jt
40,Wiraswasta,Spesialis,44.0,>7jt
42,Pemerintah Lokal,Spesialis,40.0,<=7jt
48,Wiraswasta,Pembersih,40.0,<=7jt
53,Pekerja Bebas Bukan Perusahan,Petani,30.0,<=7jt
90,Wiraswasta,Pemuka Agama,40.0,<=7jt
19,?,?,40.0,<=7jt
47,Pemerintah Lokal,Ekesekutif Managerial,40.0,>7jt
44,Wiraswasta,Ekesekutif Managerial,40.0,>7jt
27,Wiraswasta,Mesin Inspeksi,50.0,<=7jt
41,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
53,Wiraswasta,Ekesekutif Managerial,60.0,>7jt
41,Wiraswasta,Perbaikan Kerajinan,45.0,>7jt
26,Wiraswasta,Pemuka Agama,40.0,<=7jt
36,?,?,30.0,<=7jt
31,Wiraswasta,Pembersih,45.0,<=7jt
18,Wiraswasta,Servis Lainnya,24.0,<=7jt
31,Wiraswasta,Sales,55.0,>7jt
64,Wiraswasta,Spesialis,30.0,<=7jt
29,Wiraswasta,Perbaikan Kerajinan,48.0,<=7jt
44,Pekerja Bebas Bukan Perusahan,Mesin Inspeksi,45.0,<=7jt
25,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
50,Wiraswasta,Pemuka Agama,40.0,>7jt
28,Wiraswasta,Sales,60.0,<=7jt
18,Wiraswasta,Ekesekutif Managerial,35.0,<=7jt
31,Wiraswasta,Mesin Inspeksi,50.0,<=7jt
55,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,50.0,<=7jt
27,Wiraswasta,Perbaikan Kerajinan,45.0,<=7jt
49,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
47,Wiraswasta,Supir,40.0,<=7jt
45,Wiraswasta,Pemuka Agama,40.0,>7jt
33,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
34,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
32,Wiraswasta,Spesialis,60.0,>7jt
43,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
19,Wiraswasta,Sales,20.0,<=7jt
32,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
44,Wiraswasta,Supir,40.0,<=7jt
33,Pemerintah Lokal,Penjaga,60.0,<=7jt
39,Pemerintah Provinsi,Ekesekutif Managerial,45.0,<=7jt
37,Wiraswasta,Pemuka Agama,40.0,<=7jt
17,?,?,10.0,<=7jt
56,Pemerintah Provinsi,Spesialis,40.0,>7jt
57,Pemerintah Provinsi,Tech-support,48.0,>7jt
36,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
63,Wiraswasta,Pembersih,40.0,<=7jt
26,Wiraswasta,Pemuka Agama,40.0,<=7jt
42,Wiraswasta,Sales,65.0,<=7jt
59,Wiraswasta,Sales,40.0,<=7jt
35,Wiraswasta,Spesialis,75.0,>7jt
20,Wiraswasta,Mesin Inspeksi,35.0,<=7jt
42,Wiraswasta,Servis Lainnya,40.0,<=7jt
57,Pemerintah Negara,Ekesekutif Managerial,50.0,<=7jt
43,Pemerintah Provinsi,Spesialis,40.0,>7jt
33,Wiraswasta,Sales,35.0,<=7jt
45,Pemerintah Lokal,Penjaga,40.0,>7jt
29,Wiraswasta,Pemuka Agama,35.0,<=7jt
26,Wiraswasta,Ekesekutif Managerial,50.0,<=7jt
45,Wiraswasta,Mesin Inspeksi,42.0,<=7jt
30,Wiraswasta,Mesin Inspeksi,30.0,<=7jt
62,Wiraswasta,Spesialis,20.0,<=7jt
51,Wiraswasta,Sales,40.0,<=7jt
22,Wiraswasta,Sales,17.0,<=7jt
21,Wiraswasta,Pemuka Agama,40.0,<=7jt
31,Wiraswasta,Supir,40.0,<=7jt
28,Pemerintah Lokal,Spesialis,50.0,<=7jt
39,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
31,Wiraswasta,Pemuka Agama,40.0,<=7jt
35,Wiraswasta,Ekesekutif Managerial,45.0,<=7jt
27,Wiraswasta,Pembersih,40.0,<=7jt
18,Pekerja Bebas Perusahaan,Petani,50.0,<=7jt
43,Pekerja Bebas Perusahaan,Ekesekutif Managerial,50.0,>7jt
31,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
57,Wiraswasta,Supir,60.0,>7jt
24,Wiraswasta,Spesialis,40.0,<=7jt
63,Wiraswasta,Perbaikan Kerajinan,30.0,<=7jt
30,Pemerintah Lokal,Penjaga,72.0,>7jt
35,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,40.0,<=7jt
44,Pekerja Bebas Bukan Perusahan,Petani,90.0,<=7jt
30,Wiraswasta,Servis Lainnya,32.0,<=7jt
29,Wiraswasta,Sales,45.0,<=7jt
37,Pekerja Bebas Perusahaan,Spesialis,50.0,>7jt
29,Pekerja Bebas Bukan Perusahan,Petani,72.0,<=7jt
23,Wiraswasta,Sales,47.0,<=7jt
36,Pemerintah Lokal,Spesialis,35.0,>7jt
23,Wiraswasta,Supir,40.0,<=7jt
24,Wiraswasta,Pembersih,40.0,<=7jt
35,Pemerintah Provinsi,Penjaga,40.0,>7jt
21,Wiraswasta,Sales,17.0,<=7jt
32,Pemerintah Negara,Spesialis,75.0,>7jt
34,Wiraswasta,Pemuka Agama,28.0,<=7jt
26,Wiraswasta,Pembersih,40.0,<=7jt
35,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
49,Pekerja Bebas Bukan Perusahan,Spesialis,35.0,>7jt
34,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
75,Wiraswasta,Ekesekutif Managerial,24.0,<=7jt
47,Pemerintah Provinsi,Supir,50.0,>7jt
74,Pekerja Bebas Bukan Perusahan,Servis Lainnya,20.0,<=7jt
68,Wiraswasta,Pemuka Agama,40.0,<=7jt
35,Pemerintah Negara,Spesialis,75.0,<=7jt
52,Wiraswasta,Perbaikan Kerajinan,47.0,<=7jt
31,Wiraswasta,Sales,60.0,<=7jt
18,Wiraswasta,Mesin Inspeksi,21.0,<=7jt
63,Pekerja Bebas Bukan Perusahan,Servis Lainnya,40.0,>7jt
33,Wiraswasta,Servis Lainnya,40.0,<=7jt
33,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
41,Pemerintah Lokal,Spesialis,45.0,>7jt
37,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
34,Wiraswasta,Spesialis,45.0,<=7jt
41,Wiraswasta,Sales,32.0,<=7jt
41,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
30,Wiraswasta,Servis Lainnya,55.0,<=7jt
41,Wiraswasta,Spesialis,40.0,>7jt
31,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
35,Wiraswasta,Perbaikan Kerajinan,35.0,<=7jt
43,Pekerja Bebas Bukan Perusahan,Sales,40.0,<=7jt
22,Wiraswasta,Pemuka Agama,40.0,<=7jt
48,Pekerja Bebas Perusahaan,Ekesekutif Managerial,40.0,>7jt
52,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
52,Wiraswasta,Tech-support,40.0,<=7jt
39,Wiraswasta,Ekesekutif Managerial,60.0,>7jt
26,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,50.0,<=7jt
18,Wiraswasta,Pembersih,20.0,<=7jt
37,Wiraswasta,Sales,45.0,>7jt
55,Wiraswasta,Pemuka Agama,40.0,<=7jt
48,Wiraswasta,Servis Lainnya,35.0,<=7jt
37,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
35,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,40.0,<=7jt
24,Wiraswasta,Servis Lainnya,22.0,<=7jt
29,Wiraswasta,Pemuka Agama,55.0,<=7jt
31,Pemerintah Lokal,Mesin Inspeksi,64.0,<=7jt
53,Wiraswasta,Supir,40.0,>7jt
45,Wiraswasta,Spesialis,50.0,<=7jt
23,Wiraswasta,Sales,55.0,<=7jt
41,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
44,Wiraswasta,Supir,45.0,<=7jt
38,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,30.0,<=7jt
71,Wiraswasta,Mesin Inspeksi,28.0,<=7jt
49,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
24,Wiraswasta,Servis Lainnya,20.0,<=7jt
36,Wiraswasta,Spesialis,40.0,<=7jt
36,Wiraswasta,Perbaikan Kerajinan,38.0,<=7jt
36,Wiraswasta,Supir,40.0,<=7jt
19,Pekerja Bebas Bukan Perusahan,Servis Lainnya,25.0,<=7jt
76,Wiraswasta,Servis Lainnya,17.0,<=7jt
22,Wiraswasta,Sales,40.0,<=7jt
19,Pemerintah Lokal,Penjaga,35.0,<=7jt
55,Pekerja Bebas Bukan Perusahan,Spesialis,8.0,<=7jt
61,?,?,40.0,<=7jt
60,?,?,40.0,>7jt
24,Wiraswasta,Perbaikan Kerajinan,60.0,<=7jt
52,?,?,50.0,>7jt
43,Pemerintah Negara,Spesialis,40.0,<=7jt
48,Pemerintah Lokal,Penjaga,48.0,<=7jt
38,Wiraswasta,Perbaikan Kerajinan,36.0,<=7jt
38,Wiraswasta,Servis Lainnya,72.0,<=7jt
32,Wiraswasta,Servis Lainnya,40.0,<=7jt
42,Wiraswasta,Pembersih,40.0,<=7jt
35,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
42,Wiraswasta,Ekesekutif Managerial,35.0,>7jt
38,Pemerintah Lokal,Spesialis,40.0,>7jt
90,Wiraswasta,Servis Lainnya,40.0,<=7jt
55,Pekerja Bebas Perusahaan,Sales,60.0,>7jt
26,Wiraswasta,Penjaga,44.0,<=7jt
29,Wiraswasta,Ekesekutif Managerial,25.0,<=7jt
42,Wiraswasta,Ekesekutif Managerial,48.0,<=7jt
34,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
18,Pekerja Bebas Bukan Perusahan,Sales,48.0,<=7jt
22,Wiraswasta,Tech-support,40.0,<=7jt
25,Wiraswasta,Pemuka Agama,40.0,<=7jt
29,Wiraswasta,Sales,40.0,>7jt
19,Wiraswasta,Pembersih,24.0,<=7jt
36,Pekerja Bebas Perusahaan,Tech-support,55.0,>7jt
40,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
33,Wiraswasta,Sales,20.0,<=7jt
42,Wiraswasta,Spesialis,40.0,<=7jt
30,Pemerintah Lokal,Penjaga,40.0,<=7jt
31,Pemerintah Lokal,Penjaga,40.0,<=7jt
43,Wiraswasta,Sales,40.0,<=7jt
39,Pekerja Bebas Bukan Perusahan,Ekesekutif Managerial,60.0,>7jt
21,?,?,40.0,<=7jt
36,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
49,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
42,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,55.0,<=7jt
58,Wiraswasta,Pemuka Agama,40.0,<=7jt
46,Wiraswasta,Sales,40.0,>7jt
39,Wiraswasta,Tech-support,40.0,<=7jt
23,Wiraswasta,Pemuka Agama,40.0,>7jt
33,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
46,Wiraswasta,Spesialis,40.0,<=7jt
46,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
28,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
29,Wiraswasta,Perbaikan Kerajinan,45.0,<=7jt
60,Wiraswasta,Sales,30.0,<=7jt
32,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
62,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
82,Wiraswasta,Servis Lainnya,20.0,<=7jt
38,Wiraswasta,Ekesekutif Managerial,55.0,>7jt
58,Pekerja Bebas Perusahaan,Spesialis,70.0,>7jt
30,?,?,30.0,<=7jt
41,Wiraswasta,Mesin Inspeksi,40.0,>7jt
39,Wiraswasta,Pemuka Agama,40.0,<=7jt
36,Pekerja Bebas Perusahaan,Perbaikan Kerajinan,46.0,>7jt
48,Wiraswasta,Pemuka Agama,40.0,<=7jt
57,Pekerja Bebas Perusahaan,Sales,40.0,<=7jt
55,Wiraswasta,Spesialis,40.0,<=7jt
25,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
47,Wiraswasta,Sales,52.0,<=7jt
66,Pekerja Bebas Bukan Perusahan,Ekesekutif Managerial,84.0,>7jt
35,Wiraswasta,Supir,60.0,<=7jt
31,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
50,Wiraswasta,Tech-support,45.0,>7jt
51,Pekerja Bebas Bukan Perusahan,Spesialis,30.0,>7jt
52,Wiraswasta,Pembersih,40.0,<=7jt
43,Wiraswasta,Pemuka Agama,45.0,<=7jt
39,Wiraswasta,Sales,46.0,>7jt
30,Pemerintah Provinsi,Tentara,48.0,>7jt
41,Wiraswasta,Sales,60.0,<=7jt
39,Pemerintah Lokal,Spesialis,40.0,<=7jt
41,Wiraswasta,Asisten Rumah Tangga,40.0,<=7jt
33,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
20,?,?,32.0,<=7jt
44,Wiraswasta,Ekesekutif Managerial,40.0,>7jt
53,Pemerintah Negara,Ekesekutif Managerial,40.0,>7jt
36,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
35,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
48,Pemerintah Negara,Ekesekutif Managerial,38.0,>7jt
41,Wiraswasta,Pembersih,40.0,<=7jt
28,Wiraswasta,Supir,20.0,<=7jt
73,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,24.0,<=7jt
29,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
43,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
35,Wiraswasta,Spesialis,45.0,>7jt
38,Pemerintah Lokal,Ekesekutif Managerial,40.0,>7jt
53,Wiraswasta,Ekesekutif Managerial,50.0,<=7jt
56,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
60,Pekerja Bebas Bukan Perusahan,Petani,84.0,<=7jt
61,Wiraswasta,Pemuka Agama,35.0,<=7jt
22,Wiraswasta,Servis Lainnya,35.0,<=7jt
72,Wiraswasta,Pemuka Agama,30.0,<=7jt
35,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
57,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
59,Wiraswasta,Ekesekutif Managerial,12.0,<=7jt
44,Pemerintah Lokal,Servis Lainnya,38.0,>7jt
23,Wiraswasta,Pemuka Agama,36.0,<=7jt
66,Wiraswasta,Supir,20.0,<=7jt
19,Wiraswasta,Pemuka Agama,16.0,<=7jt
37,Wiraswasta,Supir,40.0,<=7jt
39,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
33,Wiraswasta,Servis Lainnya,35.0,<=7jt
37,Pemerintah Provinsi,Ekesekutif Managerial,55.0,>7jt
29,Wiraswasta,Spesialis,40.0,<=7jt
43,Pemerintah Lokal,Penjaga,40.0,<=7jt
38,Pemerintah Provinsi,Servis Lainnya,40.0,<=7jt
35,?,?,15.0,<=7jt
31,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,60.0,<=7jt
29,Wiraswasta,Perbaikan Kerajinan,45.0,<=7jt
46,Pemerintah Lokal,Mesin Inspeksi,40.0,<=7jt
22,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
18,Wiraswasta,Pembersih,40.0,<=7jt
47,Pekerja Bebas Bukan Perusahan,Ekesekutif Managerial,25.0,<=7jt
75,Wiraswasta,Perbaikan Kerajinan,20.0,<=7jt
20,Pemerintah Provinsi,Pemuka Agama,40.0,<=7jt
43,Wiraswasta,Sales,40.0,<=7jt
20,Wiraswasta,Servis Lainnya,35.0,<=7jt
23,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
28,Wiraswasta,Pemuka Agama,21.0,<=7jt
31,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
31,Wiraswasta,Sales,25.0,<=7jt
22,Wiraswasta,Pemuka Agama,55.0,<=7jt
33,Wiraswasta,Pembersih,40.0,<=7jt
21,?,?,40.0,<=7jt
31,Pemerintah Provinsi,Perbaikan Kerajinan,40.0,<=7jt
19,?,?,15.0,<=7jt
35,Pekerja Bebas Bukan Perusahan,Spesialis,40.0,<=7jt
41,Pemerintah Negara,Spesialis,40.0,<=7jt
31,Wiraswasta,Pemuka Agama,40.0,<=7jt
35,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
36,Pekerja Bebas Bukan Perusahan,Spesialis,30.0,<=7jt
51,Wiraswasta,Pemuka Agama,43.0,<=7jt
52,Wiraswasta,Servis Lainnya,40.0,<=7jt
50,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
40,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,8.0,<=7jt
46,Pekerja Bebas Perusahaan,Spesialis,50.0,>7jt
39,Wiraswasta,Perbaikan Kerajinan,60.0,<=7jt
31,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
47,Wiraswasta,Spesialis,40.0,>7jt
31,Wiraswasta,Spesialis,60.0,>7jt
45,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,35.0,<=7jt
28,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,55.0,<=7jt
34,Wiraswasta,Supir,80.0,<=7jt
27,Wiraswasta,Pemuka Agama,40.0,<=7jt
25,Wiraswasta,Spesialis,30.0,<=7jt
35,Wiraswasta,Servis Lainnya,30.0,<=7jt
52,Wiraswasta,Spesialis,40.0,>7jt
64,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
58,Pekerja Bebas Bukan Perusahan,Pembersih,40.0,<=7jt
42,Pekerja Bebas Perusahaan,Ekesekutif Managerial,60.0,<=7jt
58,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
42,?,?,60.0,<=7jt
32,Wiraswasta,Supir,35.0,<=7jt
21,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
44,Pekerja Bebas Bukan Perusahan,Spesialis,60.0,<=7jt
35,Wiraswasta,Sales,46.0,<=7jt
58,Wiraswasta,Spesialis,35.0,>7jt
36,Wiraswasta,Ekesekutif Managerial,45.0,<=7jt
33,Wiraswasta,Servis Lainnya,36.0,<=7jt
